Time,Occupancy
111.15621546961327,8
277.89053867403317,9
444.6248618784531,8
611.359185082873,8
778.0935082872929,8
944.8278314917128,7
1111.5621546961327,9
1278.2964779005526,8
1445.0308011049724,7
1611.7651243093924,6
1778.4994475138124,7
1945.233770718232,7
2111.9680939226523,7
2278.702417127072,7
2445.436740331492,7
2612.171063535912,7
2778.905386740332,8
2945.6397099447518,9
3112.3740331491717,8
3279.1083563535913,8
3445.8426795580112,8
3612.577002762431,8
3779.311325966851,9
3946.045649171271,9
4112.779972375691,9
4279.514295580111,9
4446.248618784531,9
4612.982941988951,9
4779.717265193371,9
4946.45158839779,8
5113.185911602211,9
5279.92023480663,8
5446.6545580110505,8
5613.38888121547,8
5780.12320441989,8
5946.85752762431,8
6113.59185082873,8
6280.32617403315,6
6447.0604972375695,7
6613.79482044199,7
6780.5291436464095,6
6947.263466850829,6
7113.997790055249,6
7280.732113259669,7
7447.466436464089,7
7614.200759668509,8
7780.935082872928,8
7947.669406077349,8
8114.403729281768,8
8281.138052486189,9
8447.87237569061,10
8614.606698895028,8
8781.341022099448,11
8948.075345303869,11
9114.809668508287,10
9281.543991712708,11
9448.278314917128,10
9615.012638121549,10
9781.746961325967,10
9948.481284530388,10
10115.215607734808,11
10281.949930939227,11
10448.684254143647,11
10615.418577348068,11
10782.152900552486,11
10948.887223756907,11
11115.621546961327,11
11282.355870165748,11
11449.090193370166,11
11615.824516574587,11
11782.558839779007,12
11949.293162983426,12
12116.027486187846,13
12282.761809392267,13
12449.496132596687,13
12616.230455801106,13
12782.964779005526,13
12949.699102209946,11
13116.433425414365,10
13283.167748618785,10
13449.902071823206,12
13616.636395027626,13
13783.370718232045,11
13950.105041436465,12
14116.839364640886,12
14283.573687845304,11
14450.308011049725,12
14617.042334254145,13
14783.776657458566,11
14950.510980662984,12
15117.245303867405,12
15283.979627071825,12
15450.713950276244,12
15617.448273480664,11
15784.182596685085,12
15950.916919889503,12
16117.651243093924,12
16284.385566298344,13
16451.119889502763,13
16617.854212707185,11
16784.588535911604,11
16951.322859116022,10
17118.057182320445,9
17284.791505524863,8
17451.52582872928,9
17618.260151933704,9
17784.994475138123,9
17951.72879834254,9
18118.463121546964,9
18285.197444751382,9
18451.931767955804,9
18618.666091160223,9
18785.40041436464,10
18952.134737569064,10
19118.869060773482,9
19285.6033839779,11
19452.337707182323,11
19619.072030386742,11
19785.80635359116,10
19952.540676795583,11
20119.275,9
20286.00932320442,9
20452.743646408842,9
20619.47796961326,9
20786.212292817683,8
20952.9466160221,7
21119.68093922652,8
21286.415262430943,7
21453.14958563536,8
21619.88390883978,8
21786.618232044202,8
21953.35255524862,8
22120.08687845304,9
22286.82120165746,11
22453.55552486188,11
22620.2898480663,11
22787.02417127072,9
22953.75849447514,10
23120.49281767956,9
23287.22714088398,9
23453.9614640884,8
23620.69578729282,7
23787.43011049724,7
23954.16443370166,7
24120.89875690608,7
24287.6330801105,8
24454.36740331492,6
24621.10172651934,8
24787.83604972376,8
24954.570372928178,10
25121.3046961326,8
25288.03901933702,8
25454.773342541437,8
25621.50766574586,7
25788.241988950278,9
25954.976312154697,9
26121.71063535912,8
26288.444958563538,7
26455.17928176796,7
26621.91360497238,7
26788.647928176797,9
26955.38225138122,8
27122.116574585638,9
27288.850897790056,8
27455.58522099448,8
