Time,Occupancy,behavior_code
111.17063878080415,4,0
277.9265969520104,4,0
444.6825551232166,4,0
611.4385132944227,4,0
778.194471465629,3,0
944.9504296368352,3,0
1111.7063878080414,4,0
1278.462345979248,3,0
1445.218304150454,3,0
1611.9742623216605,3,0
1778.7302204928665,3,0
1945.486178664073,2,0
2112.242136835279,2,0
2278.998095006485,3,0
2445.7540531776917,3,0
2612.510011348897,4,0
2779.2659695201037,4,0
2946.0219276913103,4,0
3112.777885862516,4,0
3279.533844033723,3,0
3446.2898022049294,3,0
3613.045760376135,3,0
3779.801718547341,3,0
3946.557676718548,3,0
4113.313634889752,3,0
4280.06959306096,3,0
4446.825551232166,3,0
4613.581509403372,3,0
4780.337467574578,3,0
4947.093425745785,3,0
5113.8493839169905,3,0
5280.605342088197,3,0
5447.361300259405,3,0
5614.1172584306105,3,0
5780.873216601816,3,0
5947.629174773023,3,0
6114.385132944229,4,0
6281.141091115434,2,0
6447.897049286641,2,0
6614.653007457847,1,0
6781.408965629054,1,0
6948.164923800259,1,0
7114.920881971466,1,0
7281.6768401426725,1,0
7448.432798313878,1,0
7615.188756485084,1,0
7781.944714656292,1,0
7948.700672827497,1,0
8115.456630998702,1,0
8282.212589169909,1,0
8448.968547341114,1,0
8615.724505512322,1,0
8782.480463683529,1,0
8949.236421854734,1,0
9115.99238002594,1,0
9282.748338197149,1,0
9449.504296368354,1,0
9616.260254539558,1,0
9783.016212710763,1,0
9949.772170881972,1,0
10116.528129053177,1,0
10283.284087224383,1,0
10450.04004539559,1,0
10616.796003566795,1,0
10783.551961738005,1,0
10950.30791990921,1,0
11117.063878080415,1,0
11283.819836251621,1,0
11450.575794422828,1,0
11617.331752594037,1,0
11784.08771076524,1,0
11950.843668936446,1,0
12117.599627107651,1,0
12284.35558527886,1,0
12451.111543450064,1,0
12617.867501621273,1,0
12784.623459792478,1,0
12951.379417963684,1,0
13118.135376134893,1,0
13284.891334306096,1,0
13451.647292477302,1,0
13618.40325064851,1,0
13785.159208819718,1,0
13951.91516699092,1,0
14118.671125162131,1,0
14285.427083333336,1,0
14452.18304150454,1,0
14618.938999675745,1,0
14785.694957846954,1,0
14952.450916018159,1,0
15119.206874189364,1,0
15285.962832360568,1,0
15452.718790531775,1,0
15619.474748702984,1,0
15786.23070687419,1,0
15952.986665045395,1,0
16119.742623216602,1,0
16286.498581387808,1,0
16453.25453955901,1,0
16620.010497730218,1,0
16786.766455901427,1,0
16953.522414072635,2,0
17120.27837224384,2,0
17287.034330415045,3,0
17453.790288586253,3,0
17620.546246757458,3,0
17787.302204928663,3,0
17954.058163099868,3,0
18120.81412127108,3,0
18287.570079442285,3,0
18454.32603761349,3,0
18621.08199578469,3,0
18787.837953955903,3,0
18954.593912127108,3,0
19121.349870298312,3,0
19288.105828469517,3,0
19454.861786640726,3,0
19621.61774481193,3,0
19788.37370298314,3,0
19955.129661154344,3,0
20121.885619325552,3,0
20288.64157749676,3,0
20455.39753566797,3,0
20622.15349383917,3,0
20788.909452010368,3,0
20955.665410181584,3,0
21122.421368352792,2,0
21289.177326524,3,0
21455.9332846952,3,0
21622.68924286641,3,0
21789.445201037608,3,0
21956.20115920882,3,0
22122.957117380025,2,0
22289.71307555124,3,0
22456.469033722442,2,0
22623.224991893647,2,0
22789.980950064848,2,0
22956.736908236056,3,0
23123.492866407265,2,0
23290.248824578463,2,0
23457.004782749682,2,0
23623.760740920883,2,0
23790.51669909209,2,0
23957.272657263296,2,0
24124.0286154345,2,0
24290.784573605702,2,0
24457.540531776915,3,0
24624.29648994812,3,0
24791.052448119328,3,0
24957.808406290533,3,0
25124.564364461738,3,0
25291.320322632946,3,0
25458.07628080415,3,0
25624.832238975367,2,0
25791.588197146564,2,0
25958.34415531777,2,0
26125.10011348897,2,0
26291.856071660186,2,0
26458.612029831387,3,0
26625.3679880026,3,0
26792.1239461738,3,0
26958.879904345005,3,0
27125.63586251621,3,0
27292.39182068742,3,0
27459.147778858627,3,0
27625.90373702984,3,0
27792.65969520104,3,0
27959.415653372245,3,0
28126.171611543454,3,0
28292.927569714655,3,0
28459.683527885863,3,0
28626.439486057072,3,0
28793.19544422828,3,0
28959.95140239948,3,0
29126.70736057069,3,0
29293.46331874189,3,0
29460.2192769131,3,0
29626.975235084312,3,0
29793.731193255517,3,0
29960.487151426718,4,0
30127.24310959793,2,0
30293.99906776913,3,0
30460.755025940336,2,0
30627.510984111545,3,0
30794.26694228275,3,0
30961.022900453965,3,0
31127.778858625166,3,0
31294.534816796368,3,0
31461.290774967583,4,0
31628.04673313878,3,0
31794.802691309986,3,0
31961.5586494812,3,0
32128.314607652403,3,0
32295.070565823607,3,0
32461.826523994816,4,0
32628.582482166017,3,0
32795.33844033722,3,0
32962.09439850843,4,0
33128.850356679635,4,0
33295.60631485084,4,0
33462.36227302205,4,0
33629.118231193264,4,0
33795.87418936446,4,0
33962.63014753567,4,0
34129.38610570687,4,0
34296.142063878084,4,0
34462.89802204929,3,0
34629.653980220486,3,0
34796.4099383917,2,0
34963.1658965629,2,0
35129.921854734115,2,0
35296.67781290532,2,0
35463.433771076525,2,0
35630.18972924773,2,0
35796.94568741893,3,0
35963.701645590154,2,0
36130.457603761344,2,0
36297.213561932556,2,0
36463.96952010376,2,0
36630.725478274966,2,0
36797.48143644616,2,0
36964.23739461738,2,0
37130.99335278859,2,0
37297.749310959785,2,0
37464.505269131,2,0
37631.2612273022,2,0
37798.017185473414,2,0
37964.77314364462,2,0
38131.529101815824,2,0
38298.28505998703,2,0
38465.041018158234,2,0
38631.796976329446,2,0
38798.55293450065,2,0
38965.308892671856,3,0
39132.06485084306,4,0
39298.820809014265,4,0
39465.57676718549,4,0
39632.33272535668,4,0
39799.08868352789,4,0
39965.844641699085,4,0
40132.6005998703,4,0
40299.356558041516,4,0
40466.11251621272,4,0
40632.86847438392,4,0
40799.62443255512,4,0
40966.380390726335,4,0
41133.136348897526,5,0
41299.892307068745,4,0
41466.64826523995,3,0
41633.40422341116,4,0
41800.16018158236,4,0
41966.91613975357,3,0
42133.672097924784,3,0
42300.42805609598,3,0
42467.184014267186,3,0
42633.93997243839,3,0
42800.6959306096,3,0
42967.45188878081,3,0
43134.20784695201,3,0
43300.96380512322,4,0
43467.719763294415,4,0
43634.47572146563,4,0
43801.23167963684,3,0
43967.987637808044,3,0
44134.74359597925,3,0
44301.49955415045,3,0
44468.25551232166,4,0
44635.011470492864,3,0
44801.76742866408,3,0
44968.52338683528,3,0
45135.279345006486,3,0
45302.03530317768,3,0
45468.791261348895,3,0
45635.547219520115,3,0
45802.30317769131,3,0
45969.05913586252,3,0
46135.81509403372,4,0
46302.571052204934,3,0
46469.32701037613,3,0
46636.082968547336,3,0
46802.83892671856,3,0
46969.59488488975,3,0
47136.350843060965,3,0
47303.10680123217,3,0
47469.86275940338,3,0
47636.61871757458,3,0
47803.374675745785,3,0
47970.13063391699,3,0
48136.886592088194,3,0
48303.64255025941,3,0
48470.39850843062,3,0
48637.154466601816,3,0
48803.91042477302,3,0
48970.666382944226,3,0
49137.42234111544,3,0
49304.17829928664,3,0
49470.934257457855,3,0
49637.69021562905,3,0
49804.446173800265,3,0
49971.20213197146,3,0
50137.958090142674,3,0
50304.71404831388,3,0
50471.47000648509,3,0
50638.22596465629,3,0
50804.9819228275,3,0
50971.73788099871,3,0
51138.49383916991,3,0
51305.24979734112,3,0
51472.00575551231,3,0
51638.761713683525,3,0
51805.51767185474,3,0
51972.273630025935,3,0
52139.02958819715,3,0
52305.78554636835,3,0
52472.54150453957,3,0
52639.29746271077,3,0
52806.05342088197,3,0
52972.80937905319,3,0
53139.56533722438,3,0
53306.32129539559,3,0
53473.0772535668,3,0
53639.833211738005,3,0
53806.58916990921,3,0
53973.34512808042,3,0
54140.10108625162,3,0
54306.85704442283,3,0
54473.61300259404,3,0
54640.368960765234,3,0
54807.124918936446,3,0
54973.880877107644,3,0
55140.63683527887,3,0
55307.39279345007,3,0
55474.14875162127,3,0
55640.90470979248,3,0
55807.66066796368,3,0
55974.41662613488,3,0
56141.172584306114,3,0
56307.928542477304,3,0
56474.684500648524,3,0
56641.440458819714,4,0
56808.196416990926,5,0
56974.95237516213,5,0
57141.70833333334,6,0
57308.46429150454,6,0
57475.22024967575,6,0
57641.97620784695,4,0
57808.73216601816,4,0
57975.488124189375,4,0
58142.24408236058,4,0
58309.00004053178,4,0
58475.75599870298,4,0
58642.51195687419,4,0
58809.2679150454,4,0
58976.0238732166,4,0
59142.779831387816,4,0
59309.53578955901,4,0
59476.29174773023,4,0
59643.04770590142,4,0
59809.803664072635,4,0
59976.55962224384,4,0
60143.31558041505,4,0
60310.07153858625,4,0
60476.82749675746,4,0
60643.583454928674,4,0
60810.33941309987,4,0
60977.095371271076,4,0
61143.851329442274,4,0
61310.607287613486,4,0
61477.3632457847,4,0
61644.119203955896,4,0
61810.87516212711,4,0
61977.63112029831,4,0
62144.387078469525,4,0
62311.14303664072,4,0
62477.898994811934,4,0
62644.654952983125,4,0
62811.41091115434,4,0
62978.16686932555,4,0
63144.92282749676,4,0
63311.678785667966,4,0
63478.43474383918,4,0
63645.19070201037,4,0
63811.94666018157,4,0
63978.70261835279,4,0
64145.458576524004,4,0
64312.214534695195,4,0
64478.970492866414,4,0
64645.726451037626,5,0
64812.48240920883,5,0
64979.23836738003,6,0
65145.99432555122,6,0
65312.75028372244,4,0
65479.50624189364,4,0
65646.26220006487,4,0
65813.01815823605,4,0
65979.77411640726,4,0
66146.53007457848,4,0
66313.28603274967,4,0
66480.04199092089,4,0
66646.79794909207,4,0
66813.5539072633,4,0
66980.30986543451,4,0
67147.0658236057,4,0
67313.82178177692,4,0
67480.57773994813,4,0
67647.33369811933,4,0
67814.08965629054,4,0
67980.84561446174,4,0
68147.60157263295,4,0
68314.35753080415,4,0
68481.11348897536,4,0
68647.86944714656,4,0
68814.62540531777,4,0
68981.38136348898,4,0
69148.13732166018,4,0
69314.89327983139,4,0
69481.64923800259,4,0
69648.4051961738,4,0
69815.16115434501,4,0
69981.91711251621,4,0
70148.67307068742,4,0
70315.42902885862,4,0
70482.18498702982,3,0
70648.94094520103,4,0
70815.69690337224,5,0
70982.45286154345,4,0
71149.20881971465,3,0
71315.96477788586,3,0
71482.72073605708,3,0
71649.47669422827,3,0
71816.23265239949,3,0
71982.98861057067,3,0
72149.74456874191,3,0
72316.50052691309,3,0
72483.25648508429,3,0
72650.01244325553,3,0
72816.76840142671,3,0
72983.52435959793,3,0
73150.28031776914,3,0
73317.03627594034,3,0
73483.79223411155,3,0
73650.54819228276,3,0
73817.30415045396,3,0
73984.06010862517,3,0
74150.81606679638,4,0
74317.57202496758,4,0
74484.32798313878,4,0
74651.08394130999,4,0
74817.8398994812,3,0
74984.5958576524,3,0
75151.35181582361,4,0
75318.10777399481,4,0
75484.86373216602,3,0
75651.61969033723,3,0
75818.37564850843,4,0
75985.13160667964,4,0
76151.88756485084,4,0
76318.64352302205,4,0
76485.39948119325,4,0
76652.15543936446,4,0
76818.91139753567,4,0
76985.66735570687,4,0
77152.42331387807,4,0
77319.17927204928,4,0
77485.9352302205,4,0
77652.6911883917,4,0
77819.4471465629,4,0
77986.20310473412,4,0
78152.95906290531,4,0
78319.71502107652,4,0
78486.47097924774,4,0
78653.22693741892,3,0
78819.98289559015,4,0
78986.73885376134,4,0
79153.49481193256,3,0
79320.25077010378,4,0
79487.00672827497,4,0
