Time,Occupancy,behavior_code
119.77011178760357,3,1
299.42527946900884,3,1
479.0804471504142,4,1
658.7356148318196,3,1
838.3907825132248,3,1
1018.0459501946304,2,1
1197.7011178760354,2,1
1377.3562855574407,3,1
1557.0114532388461,3,1
1736.6666209202515,2,1
1916.3217886016569,3,1
2095.976956283062,2,1
2275.632123964468,2,1
2455.287291645873,2,1
2634.9424593272784,2,1
2814.5976270086835,3,1
2994.252794690089,3,1
3173.9079623714947,3,1
3353.5631300529,3,1
3533.218297734304,3,1
3712.873465415711,2,1
3892.528633097115,2,1
4072.1838007785213,2,1
4251.838968459926,2,1
4431.494136141331,2,1
4611.149303822736,2,1
4790.8044715041415,2,1
4970.459639185548,2,1
5150.114806866953,2,1
5329.769974548358,2,1
5509.425142229763,2,1
5689.080309911169,2,1
5868.735477592574,2,1
6048.390645273979,2,1
6228.0458129553845,2,1
6407.70098063679,2,1
6587.356148318196,2,1
6767.011315999601,2,1
6946.666483681006,2,1
7126.321651362411,2,1
7305.976819043816,2,1
7485.631986725222,2,1
7665.287154406627,2,1
7844.9423220880335,2,1
8024.597489769439,2,1
8204.252657450843,2,1
8383.907825132248,2,1
8563.562992813653,2,1
8743.218160495058,2,1
8922.873328176465,2,1
9102.52849585787,2,1
9282.183663539276,2,1
9461.83883122068,2,1
9641.493998902086,3,1
9821.149166583493,2,1
10000.804334264896,1,1
10180.4595019463,2,1
10360.114669627706,1,1
10539.769837309113,1,1
10719.42500499052,1,1
10899.080172671924,1,1
11078.735340353327,1,1
11258.390508034734,2,1
11438.045675716141,0,1
11617.700843397544,1,1
11797.35601107895,0,1
11977.011178760356,0,1
12156.66634644176,0,1
12336.321514123165,0,1
12515.976681804572,0,1
12695.631849485977,0,1
12875.287017167382,0,1
13054.942184848791,0,1
13234.597352530192,0,1
13414.2525202116,0,1
13593.907687893003,0,1
13773.56285557441,0,1
13953.218023255813,0,1
14132.873190937216,0,1
14312.528358618623,0,1
14492.183526300032,0,1
14671.838693981435,0,1
14851.493861662842,0,1
15031.149029344246,0,1
15210.804197025647,0,1
15390.459364707056,0,1
15570.11453238846,0,1
15749.769700069866,0,1
15929.424867751271,0,1
16109.080035432678,0,1
16288.735203114085,0,1
16468.390370795492,0,1
16648.045538476894,0,1
16827.7007061583,0,1
17007.355873839704,0,1
17187.01104152111,0,1
17366.666209202514,0,1
17546.32137688392,0,1
17725.976544565325,0,1
17905.63171224673,0,1
18085.28687992813,0,1
18264.94204760954,0,1
18444.597215290945,1,1
18624.25238297235,0,1
18803.90755065376,1,1
18983.562718335164,1,1
19163.21788601657,1,1
19342.873053697967,2,1
19522.528221379383,2,1
19702.183389060785,2,1
19881.83855674219,2,1
20061.493724423595,2,1
20241.148892105,2,1
20420.80405978641,2,1
20600.45922746781,2,1
20780.114395149216,2,1
20959.769562830614,2,1
21139.424730512023,2,1
21319.07989819343,2,1
21498.73506587484,2,1
21678.39023355624,2,1
21858.04540123765,2,1
22037.70056891905,2,1
22217.355736600453,2,1
22397.010904281866,2,1
22576.666071963267,2,1
22756.321239644676,2,1
22935.976407326078,2,1
23115.63157500749,2,1
23295.28674268889,2,1
23474.941910370297,2,1
23654.597078051705,2,1
23834.25224573311,2,1
24013.907413414512,2,1
24193.562581095917,2,1
24373.21774877732,2,1
24552.872916458724,2,1
24732.528084140133,2,1
24912.183251821538,2,1
