,IR1-1,IR1-2,IR2-1,IR2-2,IR3-1,IR3-2,IR4-1,IR4-2,IR5-1,IR5-2,IR6-1,IR6-2,IR7-1,IR7-2,IR8-1,IR8-2,IR9-1,IR9-2,IR10-1,IR10-2,IR11-1,IR11-2,IR12-1,IR12-2
0,0.004452804852980795,0.003981644565315671,0.015520782960146796,0.10589955974759424,0.007099051616156984,0.008671656292563333,0.003632636944822906,0.011608939918929854,0.005423815037792146,0.0060239306835375974,0.005734372666196665,0.008562221699696997,0.00642588098544401,0.0068352255165980876,0.005125679714523854,0.049570617107585375,0.11012905887729378,0.0027394140516975563,0.0037494657669369913,0.0031762651156532215,0.005570220776897132,0.019106392606954244,0.004426481396858863,0.010019476399838814
1,0.004620416634417198,0.003994920350988837,0.015500382693647586,0.09235272027817773,0.3317177068193979,0.010277402728448275,0.00395134774096083,0.0053376447284308815,0.005865102639296183,0.001955034213098728,0.005865102639296183,0.006842619745845826,0.013685239491691653,0.030303030303031026,0.000977517106549364,0.001955034213098728,0.09496306361314406,0.0029084717193694565,0.0,0.001955034213098728,0.0055084952256459875,0.0057320915139476136,0.0051593410216057446,0.006365041006986058
0,0.003677007768688803,0.0034436898698361248,0.01627051499717061,0.10363121880949236,0.32625302258579375,0.01229819416576666,0.004107629778258144,0.005366826156300063,0.006328908782219765,0.006310644646807912,0.006507177033493144,0.009607192467973789,0.006347430158975468,0.006890209394454189,0.005933528836754925,0.006132119154190721,0.009652209703143871,0.0014405515254411678,0.00466918763183642,0.0036235015691723827,0.005645161290322852,0.0061208005350623,0.004679477285589597,0.006542676338941512
0,0.003405347307419246,0.0034240969875345005,0.0208795424267259,0.10511019997800645,0.005653788676916256,0.009378894042517445,0.0047578580162737525,0.006383505957077567,0.0041938473684824,0.004442153942981735,0.007721320970706608,0.009041399800442785,0.007570310033562094,0.007972161285762048,0.005296024510392728,0.005443488210758652,0.006804613637503984,0.0013281867995157506,0.0050406234623363065,0.004029660980446107,0.006033849760333625,0.00558031020078891,0.004607860575351708,0.006966266284984156
0,0.004285076865722024,0.0036157858738503873,0.017631267631267912,0.03933332159138642,0.006359732166183785,0.011190809577906528,0.004947763012279138,0.006279006279006296,0.0041104154007379785,0.00492207750272266,0.006972515037031208,0.008861500796984789,0.0,0.0,0.0042116896955606605,0.004758424113262819,0.0017260662421952732,0.0017583565970662734,0.0048934565063597285,0.0036766972250843193,0.006994531188079635,0.006093336738498033,0.0053557956783763195,0.007300555687652584
0,0.0036037797328119883,0.00359074617139133,0.023822388103913326,0.529279303296885,0.005899463846677998,0.010848662578868072,0.004764359133860596,0.005788678574602391,0.0038312746230634766,0.004436742794514052,0.007214076246334431,0.009233093397316488,0.0,0.0,0.004501318167007313,0.005011996800853105,0.310800675375457,0.002248881779673567,0.0046784561154062584,0.00395272371811961,0.006042833022305248,0.005593767587902517,0.005046358008234852,0.007400100713883864
0,0.003779211650807642,0.003487248092210314,0.02397262136371149,0.4720442343485246,0.005747501485309574,0.010026348096696981,0.0047815405615218775,0.006362358385778252,0.0039032706716318434,0.0049936305039721025,0.007294330536737381,0.009305106337274997,0.0,0.0,0.004391009561721724,0.005467433997202228,0.27357325328296467,0.0022646719335669024,0.004716961893147685,0.003855346501943609,0.005977945365087255,0.006022470657492638,0.00518396763181208,0.006798774228896988
0,0.003990943472036018,0.0037800774849412644,0.023765815410648004,0.4838809386380075,0.006070429239689855,0.011378638869285944,0.00504231906793557,0.0063798963100669985,0.00401974828288254,0.004473608699939317,0.020763837111010777,0.010304736434134577,0.0,0.0,0.005051920671551076,0.005317811233211675,0.2970972505807951,0.0021969207657205007,0.004873921712217237,0.003930010218322107,0.005723294339744088,0.0055729923139164975,0.004684474687034036,0.006804213331383731
0,0.008591084306239505,0.008163190025636764,0.025585126985005237,0.5329570814659065,0.007923421678747298,0.012475331525848862,0.004758479499806337,0.0070823880927350135,0.0052232612183920725,0.005772884044338696,0.010158800420516785,0.012881093343661807,0.0,0.0,0.006425791696637705,0.006595473911359482,0.3360666924878733,0.0029989487080174827,0.012408934137479472,0.011258046072410032,0.009022667330640544,0.007473394935354759,0.006956970803592831,0.007252070307456791
0,0.003582642429157173,0.003466384699438753,0.024680272046160592,0.5319302545767602,0.006271313597163496,0.010661156326716766,0.0038990108878360396,0.005348009143970152,0.0055633239881778904,0.005681117487113324,0.006853984438050964,0.010753916787416948,0.005597725218636332,0.00607611732969708,0.004279420922859323,0.004771020649185279,0.4173865968813541,0.0038699848496369345,0.004494275036302077,0.003558838006295369,0.005887371292941369,0.005366899105337918,0.004670274188557382,0.0055303049500148175
0,0.0036149974729820906,0.0034583828901216273,0.018596279382257875,0.00986369235145841,0.01113628041122316,0.010353964089108578,0.004522151506072406,0.005995236495586037,0.00518038670939899,0.005743291297071379,0.006532416948875568,0.007194435113140856,0.006014907892467061,0.006269879459732649,0.004516855360758284,0.00525604592817216,0.28062382539062575,0.0022024398584869955,0.00479452469365582,0.004068952785621114,0.0053763440860215015,0.005815167554905891,0.005324139225068014,0.07583020860759909
0,0.004910977000032005,0.004485006069470192,0.019243790796565814,0.01080932014547032,0.011316545646601752,0.013419315442554357,0.0065533042294235065,0.00878657379023024,0.004376666642044066,0.005279084827309411,0.00942799244578719,0.010691131679187275,0.009083276085794971,0.010199910866198343,0.009149757098079183,0.008290428457812866,0.27922025159369906,0.0031701593820713,0.007646547542541686,0.006059621156720364,0.005815857445011581,0.006367403620999131,0.013887144788258046,0.08355924566211403
