,IR1-1,IR1-2,IR2-1,IR2-2,IR3-1,IR3-2,IR4-1,IR4-2,IR5-1,IR5-2,IR6-1,IR6-2,IR7-1,IR7-2,IR8-1,IR8-2,IR9-1,IR9-2,IR10-1,IR10-2,IR11-1,IR11-2,IR12-1,IR12-2
0,0.036168132942326486,0.033235581622678395,0.08308895405669599,0.14565004887585534,0.04007820136852395,0.04887585532746823,0.03225806451612903,0.4701857282502444,0.039100684261974585,0.04398826979472141,0.034213098729227766,0.04301075268817205,0.033235581622678395,0.037145650048875864,0.033235581622678395,0.08602150537634409,0.14271749755620725,0.03225806451612903,0.036168132942326486,0.01955034213098729,0.039100684261974585,0.05669599217986315,0.03519061583577713,0.0469208211143695
1,0.034213098729227766,0.03128054740957967,0.16911045943304007,0.13294232649071358,0.36461388074291295,0.04789833822091887,0.029325513196480937,0.04007820136852395,0.0058651026392961885,0.001955034213098729,0.0058651026392961885,0.006842619745845552,0.013685239491691105,0.030303030303030307,0.0009775171065493646,0.001955034213098729,0.1300097751710655,0.030303030303030307,0.0,0.001955034213098729,0.03812316715542522,0.03812316715542522,0.05474095796676442,0.04789833822091887
0,0.033235581622678395,0.033235581622678395,0.07917888563049852,0.15542521994134895,0.3675464320625611,0.05083088954056696,0.037145650048875864,0.04007820136852395,0.039100684261974585,0.033235581622678395,0.036168132942326486,0.04398826979472141,0.03519061583577713,0.03812316715542522,0.03519061583577713,0.04203323558162268,0.04887585532746823,0.029325513196480937,0.03519061583577713,0.01955034213098729,0.03812316715542522,0.03812316715542522,0.037145650048875864,0.04105571847507331
0,0.02541544477028348,0.029325513196480937,0.14467253176930595,0.1603128054740958,0.021505376344086027,0.04301075268817205,0.03128054740957967,0.03519061583577713,0.04007820136852395,0.03812316715542522,0.03225806451612903,0.04496578690127077,0.03812316715542522,0.034213098729227766,0.04496578690127077,0.04105571847507331,0.04105571847507331,0.03128054740957967,0.033235581622678395,0.022482893450635387,0.033235581622678395,0.033235581622678395,0.030303030303030307,0.03812316715542522
0,0.02346041055718475,0.03128054740957967,0.08602150537634409,0.08993157380254155,0.02737047898338221,0.04594330400782014,0.03519061583577713,0.037145650048875864,0.02737047898338221,0.034213098729227766,0.029325513196480937,0.04203323558162268,0.0,0.0,0.034213098729227766,0.033235581622678395,0.02737047898338221,0.024437927663734114,0.028347996089931576,0.015640273704789834,0.03225806451612903,0.03128054740957967,0.04301075268817205,0.04496578690127077
0,0.037145650048875864,0.03225806451612903,0.093841642228739,0.5513196480938416,0.015640273704789834,0.053763440860215055,0.033235581622678395,0.04007820136852395,0.034213098729227766,0.02541544477028348,0.03225806451612903,0.033235581622678395,0.0,0.0,0.034213098729227766,0.04105571847507331,0.3431085043988269,0.026392961876832845,0.034213098729227766,0.024437927663734114,0.03519061583577713,0.03519061583577713,0.05083088954056696,0.04203323558162268
0,0.03519061583577713,0.02737047898338221,0.09481915933528837,0.5268817204301075,0.020527859237536656,0.04789833822091887,0.037145650048875864,0.037145650048875864,0.02541544477028348,0.034213098729227766,0.03225806451612903,0.05669599217986315,0.0,0.0,0.033235581622678395,0.04007820136852395,0.31378299120234604,0.02737047898338221,0.030303030303030307,0.02346041055718475,0.04203323558162268,0.034213098729227766,0.04887585532746823,0.04789833822091887
0,0.033235581622678395,0.03519061583577713,0.093841642228739,0.5327468230694037,0.02541544477028348,0.04887585532746823,0.033235581622678395,0.04398826979472141,0.034213098729227766,0.04203323558162268,0.0997067448680352,0.04301075268817205,0.0,0.0,0.039100684261974585,0.03812316715542522,0.33235581622678395,0.033235581622678395,0.037145650048875864,0.021505376344086027,0.04496578690127077,0.036168132942326486,0.07917888563049852,0.05571847507331378
0,0.039100684261974585,0.03519061583577713,0.08211143695014662,0.5542521994134897,0.02541544477028348,0.0469208211143695,0.02737047898338221,0.03812316715542522,0.026392961876832845,0.03812316715542522,0.036168132942326486,0.034213098729227766,0.0,0.0,0.034213098729227766,0.03128054740957967,0.3841642228739003,0.034213098729227766,0.04007820136852395,0.02737047898338221,0.03225806451612903,0.039100684261974585,0.07135874877810362,0.07135874877810362
0,0.05962854349951125,0.030303030303030307,0.10557184750733138,0.5562072336265884,0.022482893450635387,0.04887585532746823,0.034213098729227766,0.039100684261974585,0.04301075268817205,0.03519061583577713,0.03519061583577713,0.04301075268817205,0.03128054740957967,0.036168132942326486,0.04007820136852395,0.04203323558162268,0.4565004887585533,0.039100684261974585,0.034213098729227766,0.02346041055718475,0.04203323558162268,0.039100684261974585,0.039100684261974585,0.051808406647116334
0,0.026392961876832845,0.02346041055718475,0.08895405669599217,0.04007820136852395,0.05669599217986315,0.04789833822091887,0.029325513196480937,0.03519061583577713,0.030303030303030307,0.036168132942326486,0.030303030303030307,0.037145650048875864,0.029325513196480937,0.03519061583577713,0.033235581622678395,0.034213098729227766,0.3216031280547409,0.03128054740957967,0.04203323558162268,0.026392961876832845,0.039100684261974585,0.04301075268817205,0.04398826979472141,0.1104594330400782
0,0.033235581622678395,0.026392961876832845,0.08504398826979473,0.04301075268817205,0.03225806451612903,0.053763440860215055,0.026392961876832845,0.04007820136852395,0.01759530791788856,0.024437927663734114,0.07038123167155426,0.04203323558162268,0.028347996089931576,0.04594330400782014,0.2355816226783969,0.04203323558162268,0.2981427174975562,0.026392961876832845,0.02737047898338221,0.01955034213098729,0.030303030303030307,0.030303030303030307,0.1935483870967742,0.15835777126099707
