Time,Observation,Reward,Action
20180926-150007,"[0.30400782 0.         0.00391007 0.00195503 0.00195503 0.00488759
 0.01173021 0.00195503 0.30400782 0.         0.00391007 0.00195503
 0.00195503 0.00488759 0.01173021 0.00195503 0.30009775 0.00097752
 0.00684262 0.00684262 0.00195503 0.00684262 0.00782014 0.00684262
 0.29618768 0.         0.02248289 0.00879765 0.00488759 0.00391007
 0.00293255 0.00293255 0.2971652  0.         0.0058651  0.00488759
 0.0058651  0.00879765 0.00195503 0.00391007]",1.6695992179863146,"[ 0.48978335 -0.21885858  0.8432366   0.59570915 -0.23828565  0.8037225
 -0.43108517  0.10179959  0.44084948 -0.7478005  -0.3463163   0.87163126
 -0.34039527  0.6032415  -0.8405178   0.692536   -0.23337911  0.51518697
 -0.88433295  0.3510656  -0.17927313  0.7409812   0.04125589 -0.21767257
 -0.5413924  -0.11413499 -0.4071977  -0.718163    0.4028865   0.31966612
  0.9408523  -0.10852362 -0.9430618  -0.4722054  -0.985171    0.09129585
 -0.49494717  0.67758346  0.15598707 -0.28722775  0.09937588  0.94055563
  0.36631477 -0.3521355   0.20961256  0.10319011 -0.71235836  0.46121833
 -0.23186323 -0.69154114 -0.61430126  0.52255267  0.8978205   0.4463444
  0.6471932   0.9445785   0.39127672 -0.04162278 -0.30063796  0.24420953
  0.5914342  -0.13861206 -0.5047326  -0.38990337]"
20180926-150038,"[0.30009775 0.         0.01368524 0.0058651  0.00488759 0.00097752
 0.00684262 0.00684262 0.30205279 0.         0.00097752 0.00097752
 0.00097752 0.00097752 0.00097752 0.00293255 0.30205279 0.
 0.00097752 0.00097752 0.00097752 0.00097752 0.00097752 0.00293255
 0.29423265 0.         0.00097752 0.00097752 0.00097752 0.00097752
 0.04398827 0.04692082 0.29423265 0.         0.00097752 0.00097752
 0.00097752 0.00097752 0.04398827 0.04692082]",1.7370478983382207,"[ 0.86165786  0.4856794   0.03245645  0.3637873   0.16865629  0.81375074
  0.9714529  -0.7552253   0.8437765   0.41435084 -0.32809076 -0.68900883
  0.35747454 -0.304137    0.05573741  0.89797395  0.183274    0.9403039
 -0.9283806  -0.5243676   0.32141533  0.5305191   0.19934566  0.36767107
  0.25841117 -0.83742887  0.19094971 -0.482799    0.68637395 -0.06736215
  0.01253207 -0.1824639  -0.35977498 -0.72203887  0.5400655   0.23693179
  0.8856344  -0.24836256 -0.8695198   0.20760578 -0.9435022  -0.19575049
  0.5775066  -0.05905805 -0.28009108 -0.33254567 -0.27608362  0.62077206
  0.58337885  0.51707387 -0.46598783  0.00129095 -0.34251115 -0.5987268
 -0.12813903  0.05771792  0.1949698  -0.07252574  0.70084304 -0.572891
 -0.8255185  -0.62473005 -0.64379114 -0.6588028 ]"
20180926-150043,"[0.30205279 0.00293255 0.0058651  0.0058651  0.00195503 0.00391007
 0.00195503 0.00097752 0.32746823 0.02052786 0.00097752 0.00097752
 0.00782014 0.00195503 0.01466276 0.02346041 0.3030303  0.00097752
 0.00097752 0.00097752 0.00097752 0.00097752 0.00097752 0.00097752
 0.31964809 0.02932551 0.01368524 0.00684262 0.00097752 0.00097752
 0.01955034 0.02639296 0.30205279 0.         0.00097752 0.00097752
 0.00097752 0.00097752 0.03812317 0.04105572]",1.8357771260997064,"[ 0.99679124  1.          0.9999995   0.9991245   0.9945471   0.99991524
  1.         -0.99999976 -0.99998796 -1.         -0.87687725  0.9909705
 -0.99899    -1.          0.9968257  -0.9975278   0.9986969   0.99401987
 -0.9906505  -0.9993323  -0.9998988  -0.99999905  0.9994835   0.9995744
 -0.99822485  1.          0.99832505  0.99852765  0.9999105  -0.9999999
  0.99230224  0.9999907  -0.9991146  -0.99971    -0.9997855  -0.9999999
 -0.9997618  -0.99993026 -0.9996837  -0.6018642  -0.9989963  -0.9984464
  0.9980849  -0.9989048  -0.99873775  1.          0.99609107  0.9999997
 -0.99825317 -1.         -0.9984584   1.         -0.9971817   0.9995501
  0.99897045  0.9999998   0.9994355   0.9996265  -1.          0.9999998
  1.         -0.9997398   0.9999542  -1.        ]"
20180926-150044,"[0.30205279 0.00195503 0.00391007 0.00391007 0.00195503 0.0058651
 0.00391007 0.00195503 0.30205279 0.00195503 0.00391007 0.00391007
 0.00195503 0.00391007 0.02443793 0.04692082 0.2971652  0.
 0.00782014 0.00391007 0.00097752 0.00097752 0.00391007 0.02248289
 0.2971652  0.         0.00782014 0.00391007 0.00097752 0.00097752
 0.00391007 0.02248289 0.2971652  0.         0.00782014 0.00391007
 0.00097752 0.00097752 0.00391007 0.02248289]",1.7262952101661777,"[ 0.9951713   1.          0.99999934  0.9991397   0.99320257  0.9998722
  1.         -0.9999997  -0.99997437 -1.         -0.8696809   0.99192125
 -0.9987369  -1.          0.99545413 -0.99707574  0.9979896   0.9917858
 -0.9889578  -0.99912775 -0.9998957  -0.9999988   0.9994596   0.99916637
 -0.998213    1.          0.99711406  0.9985494   0.9998437  -0.9999995
  0.9903205   0.99998665 -0.99882257 -0.999643   -0.999698   -1.0000001
 -0.9996791  -0.9999077  -0.99956256 -0.6362922  -0.9981555  -0.99749476
  0.9978439  -0.99825144 -0.99832916  1.          0.99600744  0.99999964
 -0.9978752  -1.         -0.99760276  1.         -0.9968385   0.9993867
  0.9989033   0.99999976  0.9993433   0.9995103  -1.          0.99999976
  1.         -0.9995593   0.9999563  -1.        ]"
20180926-150045,"[0.2971652  0.         0.00782014 0.00391007 0.00097752 0.00097752
 0.00391007 0.02248289 0.2971652  0.         0.00782014 0.00391007
 0.00097752 0.00097752 0.00391007 0.02248289 0.2971652  0.
 0.00782014 0.00391007 0.00097752 0.00097752 0.00391007 0.02248289
 0.2971652  0.         0.00782014 0.00391007 0.00097752 0.00097752
 0.00391007 0.02248289 0.29423265 0.         0.02248289 0.01173021
 0.00097752 0.00097752 0.00097752 0.00391007]",1.684261974584555,"[ 0.99485105  1.          0.9999994   0.9992679   0.9927819   0.9998437
  1.         -0.99999976 -0.99996996 -1.         -0.87875736  0.9922946
 -0.99866444 -1.          0.99523246 -0.9967327   0.998067    0.9908544
 -0.98777366 -0.99915713 -0.99990255 -0.9999986   0.9994501   0.99916637
 -0.99828     1.          0.996738    0.9985613   0.99984175 -0.9999995
  0.99090105  0.99998635 -0.99873346 -0.99963963 -0.99970883 -0.99999976
 -0.999667   -0.9999009  -0.99955314 -0.6345951  -0.9978578  -0.99709976
  0.9980502  -0.9982132  -0.998277    1.          0.99594766  0.9999995
 -0.99782246 -1.         -0.9976739   1.         -0.99692965  0.99933565
  0.99889207  0.99999964  0.9993061   0.9994359  -1.          0.99999964
  1.         -0.9995029   0.9999555  -1.        ]"
20180926-150046,"[0.28739003 0.         0.02541544 0.01564027 0.01075269 0.01955034
 0.02541544 0.02932551 0.28739003 0.         0.02541544 0.01564027
 0.01075269 0.01955034 0.02541544 0.02932551 0.28739003 0.
 0.02541544 0.01564027 0.01075269 0.01955034 0.02541544 0.02932551
 0.28739003 0.         0.02541544 0.01564027 0.01075269 0.01955034
 0.02541544 0.02932551 0.28739003 0.         0.02541544 0.01564027
 0.01075269 0.01955034 0.02541544 0.02932551]",2.0674486803519057,"[-0.25785112  0.53577626  0.46563068  0.6323921  -0.14482285  0.10656269
  0.61287177 -0.8652819   0.5215537  -0.55747783  0.9506182   0.6330398
 -0.63773215 -0.07285311 -0.29221508  0.14220321  0.12873574  0.749192
  0.6580147  -0.83799416  0.0847358   0.05508982 -0.33266154  0.9717461
 -0.06538831 -0.7706711   0.165391    0.17479263  0.09337949 -0.7102041
 -0.22000217 -0.4947018  -0.4363003   0.8982805  -0.95339924 -0.41241634
 -0.16025048  0.90964687 -0.8361624   0.06088637 -0.8223848   0.16318613
 -0.15461    -0.7874358   0.07833813  0.6409372   0.14987017  0.23674674
 -0.46172613 -0.68146724  0.97733545  0.01036973  0.46546593  0.6711346
 -0.33141133 -0.67109126 -0.08881151  0.6124117  -0.5025706  -0.04266534
 -0.60927624 -0.9294456   0.16129802  0.36199582]"
20180926-150047,"[0.28739003 0.         0.02541544 0.01564027 0.01075269 0.01955034
 0.02541544 0.02932551 0.28739003 0.         0.02541544 0.01564027
 0.01075269 0.01955034 0.02541544 0.02932551 0.29325513 0.00195503
 0.01466276 0.01368524 0.01173021 0.00879765 0.00293255 0.00097752
 0.32453568 0.00977517 0.00879765 0.00977517 0.00097752 0.00391007
 0.00097752 0.00097752 0.30107527 0.00684262 0.0058651  0.00684262
 0.0058651  0.00391007 0.02248289 0.03225806]",1.9198435972629517,"[ 0.9949994   1.          0.9999996   0.9991183   0.9925443   0.99983996
  1.         -0.9999998  -0.99998623 -1.         -0.92111737  0.99474525
 -0.9988119  -1.          0.9978398  -0.99612105  0.99873275  0.9949742
 -0.9900301  -0.99952704 -0.99994045 -0.9999985   0.99936956  0.9991417
 -0.99747556  1.          0.99779975  0.9981222   0.9998446  -0.9999997
  0.9926932   0.9999889  -0.998825   -0.99964184 -0.9998575  -0.9999999
 -0.9998044  -0.99993837 -0.9996675  -0.47786835 -0.9988871  -0.9982448
  0.99901706 -0.9983727  -0.9988593   1.          0.9953798   0.9999998
 -0.9975173  -1.         -0.9985906   1.         -0.9967133   0.99960256
  0.9984686   0.9999997   0.9993192   0.99921703 -1.          0.9999998
  1.         -0.9997518   0.9999407  -1.        ]"
20180926-150047,"[0.30205279 0.00195503 0.00195503 0.00097752 0.00195503 0.00097752
 0.00097752 0.00097752 0.30205279 0.00195503 0.00195503 0.00097752
 0.00195503 0.00097752 0.00097752 0.00097752 0.30205279 0.00195503
 0.00195503 0.00097752 0.00195503 0.00097752 0.00097752 0.00097752
 0.30205279 0.00195503 0.00195503 0.00097752 0.00195503 0.00097752
 0.00097752 0.00097752 0.30205279 0.00195503 0.00195503 0.00097752
 0.00195503 0.00097752 0.00097752 0.00097752]",1.5591397849462365,"[ 0.99397266  1.          0.999999    0.9991279   0.9906816   0.9998614
  1.         -0.9999996  -0.9999756  -1.         -0.8977313   0.99116457
 -0.9984994  -1.          0.9953439  -0.99611837  0.99849737  0.9897022
 -0.9870748  -0.9993184  -0.99989843 -0.99999803  0.9992749   0.99942166
 -0.9979792   1.          0.99629366  0.9978181   0.999849   -0.9999993
  0.99047196  0.99998844 -0.99830526 -0.9996665  -0.99977404 -0.9999999
 -0.99972695 -0.99989206 -0.99947226 -0.52795625 -0.9980517  -0.99742985
  0.99787927 -0.9983468  -0.99813426  1.          0.9959925   0.99999934
 -0.99732107 -1.         -0.9980644   1.         -0.9963373   0.99929005
  0.9983308   0.9999995   0.99912965  0.9993532  -0.99999994  0.9999997
  1.         -0.9996274   0.9999315  -1.        ]"
20180926-150048,"[0.30009775 0.00879765 0.01368524 0.01075269 0.00391007 0.00097752
 0.00293255 0.01368524 0.30009775 0.00195503 0.00977517 0.02052786
 0.0058651  0.00879765 0.01368524 0.02150538 0.3030303  0.00195503
 0.00293255 0.00097752 0.00879765 0.00977517 0.01075269 0.02443793
 0.30694037 0.00391007 0.00782014 0.00977517 0.00391007 0.00195503
 0.00879765 0.00293255 0.30596285 0.00293255 0.01759531 0.01759531
 0.01857283 0.00879765 0.01075269 0.00684262]",1.834799608993157,"[ 0.99585205  1.          0.9999996   0.99931353  0.9939716   0.99989295
  1.         -0.9999999  -0.99998593 -1.         -0.9046734   0.9943806
 -0.99907446 -1.          0.9973707  -0.99702036  0.998652    0.99461997
 -0.99046135 -0.99945265 -0.99993616 -0.99999905  0.99960107  0.99933034
 -0.9983143   1.          0.997235    0.9988018   0.9998882  -0.9999997
  0.99276835  0.999993   -0.99884665 -0.99975795 -0.99981    -0.99999994
 -0.9997629  -0.999946   -0.999701   -0.57642156 -0.99835724 -0.9983141
  0.9988231  -0.9984966  -0.99894094  1.          0.9969317   0.9999998
 -0.9980982  -1.         -0.99868876  1.         -0.99729353  0.9995937
  0.99889463  0.9999999   0.999402    0.9993821  -1.          0.99999976
  1.         -0.9997462   0.9999626  -1.        ]"
20180926-150049,"[0.30498534 0.00488759 0.01075269 0.01270772 0.00782014 0.00782014
 0.00977517 0.01075269 0.30498534 0.00488759 0.01075269 0.01270772
 0.00782014 0.00782014 0.00977517 0.01075269 0.30498534 0.00488759
 0.01075269 0.01270772 0.00782014 0.00782014 0.00977517 0.01075269
 0.30498534 0.00488759 0.01075269 0.01270772 0.00782014 0.00782014
 0.00977517 0.01075269 0.30498534 0.00488759 0.01075269 0.01270772
 0.00782014 0.00782014 0.00977517 0.01075269]",1.8475073313782988,"[ 0.99547386  1.          0.99999964  0.9993367   0.9929238   0.9998805
  1.         -0.99999976 -0.99998605 -1.         -0.9130268   0.9942318
 -0.99892557 -1.          0.9973037  -0.9966541   0.9987293   0.9941191
 -0.98990947 -0.99948424 -0.99993694 -0.9999989   0.9995083   0.99945676
 -0.9981891   1.          0.99753207  0.99848574  0.9998913  -0.9999997
  0.99257535  0.9999921  -0.99881977 -0.9997108  -0.9998382  -0.9999998
 -0.99978805 -0.99994147 -0.99968237 -0.5514846  -0.99869555 -0.9982186
  0.9987681  -0.99865985 -0.9987272   1.          0.9963968   0.9999997
 -0.9979885  -1.         -0.9986713   1.         -0.9970028   0.9995542
  0.99879986  0.99999976  0.9993503   0.99942327 -1.          0.9999998
  1.         -0.9997423   0.9999544  -1.        ]"
