Timestamp,Research Code:,Interests and Background,How familiar are you with interactive architecture? (1. No prior knowledge 5. I am an expert.),How familiar are you with machine learning algorithms? (1. I've never heard of it 5. I'm an expert in Machine Learning.),Living Architecture System - Animacy (1. Fake 5. Natural),Living Architecture System - Animacy (1. Machinelike 5. Humanlike),Living Architecture System - Animacy (1. Unconscious 5. Conscious),Living Architecture System - Animacy (1. Artificial 5. Lifelike),Living Architecture System - Animacy (1. Moving rigidly 5. Moving elegantly),Living Architecture System - Animacy (1. Dead 5. Alive),Living Architecture System - Animacy (1. Stagnant 5. Lively),Living Architecture System - Animacy (1. Mechanical 5. Organic),Living Architecture System - Animacy (1. Artificial 5. Lifelike),Living Architecture System - Animacy (1. Inert 5. Interactive),Living Architecture System - Animacy (1. Apathetic 5. Responsive),Living Architecture System - Animacy (1. Dislike 5. Like),Living Architecture System - Animacy (1. Unfriendly 5. Friendly),Living Architecture System - Animacy (1. Unkind 5. Kind),Living Architecture System - Animacy (1. Unpleasant 5. Pleasant),Living Architecture System - Animacy (1. Awful 5. Nice),Living Architecture System - Animacy (1. Incompetent 5. Competent),Living Architecture System - Animacy (1. Ignorant 5. Knowledgeable),Living Architecture System - Animacy (1. Irresponsible 5. Responsible),Living Architecture System - Animacy (1. Unintelligent 5. Intelligent),Living Architecture System - Animacy (1. Foolish 5. Sensible),Please rate your emotional state on these scales: (1. Anxious 5. Relaxed),Please rate your emotional state on these scales: (1. Agitated 5. Calm),Please rate your emotional state on these scales: (1. Quiescent 5. Surprised),Any additional comments regarding your experience?,Any overall feedback?
2018/09/18 1:35:16 pm GMT-4,2,Fashion,1,2,3,1,4,2,3,4,4,2,2,5,5,4,4,5,4,4,3,3,3,4,3,4,4,4,,
2018/09/18 1:36:31 pm GMT-4,1,Architecture;Interactive Systems,1,1,3,2,3,4,4,4,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,4,4,2,,"More colors, maybe translucent colors."
2018/09/18 2:06:43 pm GMT-4,3,Visual arts /painter,3,2,4,4,2,5,4,4,5,3,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,So much fun. I think we stayed there the longest. Really enjoyed interacting with this exhibit,Was a surprise coming here and best surprise ever
2018/09/18 2:08:17 pm GMT-4,4,Fashion/material arts/design,3,1,3,3,4,3,5,5,5,5,3,4,4,5,5,5,5,5,4,3,3,4,3,4,4,5,"Incredible, inspiring, and very organic","So unique, great work hiding the electronics. Transforms the space "
2018/09/18 2:11:22 pm GMT-4,5,fine arts,3,2,2,2,5,2,5,5,5,2,2,5,4,5,5,5,5,5,5,5,4,5,5,4,4,5,AMAZING,VERY BEAUTIFUL
2018/09/18 2:30:59 pm GMT-4,7,Architecture,2,3,4,3,1,2,4,2,3,4,3,2,1,4,3,3,4,4,3,3,3,4,3,5,5,4,,
2018/09/18 2:34:56 pm GMT-4,6,Architecture;Interactive Systems,3,2,4,3,5,4,5,4,4,3,3,5,5,5,5,5,5,5,4,4,5,4,5,5,4,5,"The enviroment create by the research project is very real, it makes people feels like those fronds are look like real birds, they interact with people when they move close to it. It_„Žs a interesting experience and I really enjoyed it.","It_„Žs really cool and amazing, love it!!!!!"
2018/09/18 2:50:17 pm GMT-4,8,Architecture,1,3,3,4,2,3,5,4,4,4,4,3,4,5,4,2,4,4,4,2,2,3,4,5,5,1,None,None
2018/09/18 2:50:49 pm GMT-4,9,Architecture,1,2,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,,
2018/09/18 2:54:50 pm GMT-4,9,Architecture;Interactive Systems,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
