Time,Occupancy
126.48092327150084,4
316.20230817875216,4
505.92369308600337,4
695.6450779932547,4
885.3664629005058,4
1075.087847807757,4
1264.8092327150086,4
1454.5306176222596,4
1644.2520025295112,4
1833.973387436762,4
2023.6947723440135,4
2213.416157251265,4
2403.1375421585158,4
2592.8589270657667,4
2782.580311973019,4
2972.30169688027,5
3162.023081787521,4
3351.7444666947717,4
3541.465851602024,4
3731.187236509275,4
3920.908621416526,4
4110.630006323778,4
4300.351391231028,4
4490.07277613828,4
4679.794161045531,4
4869.515545952782,4
5059.236930860035,4
5248.958315767285,4
5438.679700674536,4
5628.401085581789,4
5818.122470489038,4
6007.843855396291,4
6197.565240303541,4
6387.286625210792,4
6577.008010118045,4
6766.729395025295,4
6956.4507799325465,4
7146.172164839797,4
7335.893549747048,4
7525.614934654301,4
7715.336319561551,4
7905.0577044688025,4
8094.779089376054,4
8284.500474283304,4
8474.221859190557,4
8663.943244097807,4
8853.66462900506,4
9043.38601391231,4
9233.107398819562,4
9422.82878372681,4
9612.550168634063,4
9802.271553541315,4
9991.992938448566,4
10181.714323355818,4
10371.435708263067,3
10561.157093170319,4
10750.878478077571,3
10940.599862984822,3
11130.321247892076,5
11320.042632799325,4
11509.764017706577,5
11699.485402613827,4
11889.20678752108,4
12078.92817242833,5
12268.64955733558,4
12458.370942242833,4
12648.092327150083,4
12837.813712057336,5
13027.535096964584,4
13217.256481871838,3
13406.977866779087,3
13596.699251686341,3
13786.420636593592,3
13976.142021500842,3
14165.863406408092,4
14355.584791315345,3
14545.306176222595,3
14735.02756112985,3
14924.7489460371,3
15114.47033094435,3
15304.191715851599,3
15493.913100758853,3
15683.634485666104,3
15873.355870573358,2
16063.077255480606,2
16252.798640387859,2
16442.52002529511,2
16632.241410202358,2
16821.962795109608,2
17011.684180016862,2
17201.405564924113,2
17391.126949831367,2
17580.848334738617,2
17770.569719645868,1
17960.29110455312,1
18150.01248946037,1
18339.733874367623,1
18529.455259274877,1
18719.176644182124,1
18908.898029089374,1
19098.619413996632,1
