Time,Observation,Reward,Action
20181003-130045,"[0.01466276 0.00391007 0.02443793 0.01661779 0.00488759 0.00782014
 0.0058651  0.0058651  0.01466276 0.00391007 0.02443793 0.01661779
 0.00488759 0.00782014 0.0058651  0.0058651  0.01466276 0.00391007
 0.02443793 0.01661779 0.00488759 0.00782014 0.0058651  0.0058651
 0.01466276 0.00391007 0.02443793 0.01661779 0.00488759 0.00782014
 0.0058651  0.0058651  0.01466276 0.00391007 0.02443793 0.01661779
 0.00488759 0.00782014 0.0058651  0.0058651 ]",0.4203323558162266,"[-0.01138728  0.5303032   0.88975096  0.96219784 -0.47699186  0.6234936
  0.46671277  0.9717756   0.6987219  -0.7488914   0.5158783  -0.9079164
  0.6713063   0.49347708 -0.7354199   0.14678332  0.46434212 -0.38562754
  0.8975432  -0.78121036 -0.6831231   0.8284059  -0.59723747 -0.92234087
  0.01586076 -0.1363067  -0.35959348  0.46654612 -0.29932252  0.050265
  0.18891639 -0.80560315 -0.59580624 -0.86921525 -0.67330366  0.9163788
 -0.21305878 -0.39527377 -0.32971495  0.45608714  0.1487393   0.9219417
  0.81181175 -0.1210238  -0.16482353  0.5975414   0.10359455  0.05584548
  0.97732645  0.7149584  -0.24860011 -0.9856402  -0.3007835   0.75956666
 -0.6428806   0.13692456  0.8325996  -0.19964917  0.5439078   0.16643651
  0.3634115  -0.2857079   0.13793066  0.7920358 ]"
20181003-130046,"[0.01466276 0.00391007 0.02443793 0.01661779 0.00488759 0.00782014
 0.0058651  0.0058651  0.0058651  0.00488759 0.01955034 0.00684262
 0.01075269 0.00782014 0.00097752 0.00391007 0.00391007 0.00097752
 0.01368524 0.00391007 0.0058651  0.00684262 0.00488759 0.
 0.00488759 0.00684262 0.01759531 0.00977517 0.02052786 0.03323558
 0.0058651  0.02737048 0.00782014 0.00195503 0.02150538 0.00782014
 0.01368524 0.01075269 0.01368524 0.        ]",0.3880742913000976,"[-0.9239558  -0.99923056  0.999043    0.99709725 -0.9997465  -0.98825884
  0.9991271   0.99897414  0.9964957   0.9997299   0.9996275  -0.9333486
 -0.9988589  -0.99543965  0.99540436 -0.99957955 -0.94562936  0.9997733
 -0.99932826  0.9995492  -0.98702025  0.9999949   0.99977726  0.9943034
 -0.8885072  -0.91679704 -0.99957126 -0.9011236  -0.80070394 -0.99943477
  0.9993519  -0.8429133  -0.99789906  0.98401463 -0.99906075 -0.9991174
 -0.94316816  0.96635634  0.9995238   0.82385194 -0.9785421   0.9861533
 -0.99884844  0.99865586  0.9874231  -0.95551115 -0.9508188  -0.8937601
  0.9993199  -0.55666447  0.9882441  -0.99951416 -0.999923   -0.9977461
 -0.9452883   0.9979633   0.996511   -0.9982238   0.9934062  -0.99841154
  0.8736626  -0.7262686  -0.9483054   0.99910736]"
20181003-130047,"[0.00488759 0.00195503 0.02248289 0.01173021 0.00195503 0.0058651
 0.00684262 0.00977517 0.00488759 0.00195503 0.02248289 0.01173021
 0.00195503 0.0058651  0.00684262 0.00977517 0.00488759 0.00195503
 0.02248289 0.01173021 0.00195503 0.0058651  0.00684262 0.00977517
 0.00488759 0.00195503 0.02248289 0.01173021 0.00195503 0.0058651
 0.00684262 0.00977517 0.00488759 0.00195503 0.02248289 0.01173021
 0.00195503 0.0058651  0.00684262 0.00977517]",0.327468230694037,"[-0.93835485 -0.99872446  0.9989423   0.99702984 -0.9996775  -0.9877697
  0.99867636  0.99905753  0.9959757   0.9995821   0.99947035 -0.92355716
 -0.9983974  -0.99552673  0.996      -0.99923086 -0.9567946   0.9998182
 -0.9989927   0.9994623  -0.987166    0.99999255  0.9996958   0.99349725
 -0.8985417  -0.88156563 -0.9992836  -0.9177405  -0.72243357 -0.99923414
  0.9991581  -0.8232685  -0.9977526   0.98354226 -0.9987998  -0.99885476
 -0.9380975   0.9719257   0.9994964   0.834942   -0.9741508   0.98525673
 -0.99846435  0.99814034  0.98490715 -0.94731313 -0.9386195  -0.8283738
  0.9989789  -0.61652374  0.9884081  -0.99926573 -0.9998943  -0.9977195
 -0.94021016  0.99764615  0.99611497 -0.9979304   0.9924745  -0.9982894
  0.8770238  -0.7266881  -0.94344574  0.99888647]"
20181003-130048,"[0.00391007 0.00097752 0.02052786 0.00684262 0.02248289 0.01173021
 0.         0.00488759 0.01368524 0.00782014 0.01466276 0.00879765
 0.01075269 0.01564027 0.01857283 0.00293255 0.01368524 0.00782014
 0.01466276 0.00879765 0.01075269 0.01564027 0.00488759 0.00293255
 0.00684262 0.00293255 0.03714565 0.00977517 0.00782014 0.0058651
 0.00684262 0.00391007 0.00195503 0.00782014 0.02248289 0.00879765
 0.00879765 0.00879765 0.         0.0058651 ]",0.389051808406647,"[-0.9421945  -0.9986304   0.99915665  0.9977516  -0.9997444  -0.9899151
  0.99895215  0.99897707  0.9954568   0.9996775   0.9994706  -0.9208204
 -0.9985522  -0.99611443  0.9950722  -0.99935436 -0.9534753   0.9998259
 -0.9992051   0.99950904 -0.9885104   0.99999434  0.99972725  0.9941598
 -0.8842346  -0.90694195 -0.999346   -0.92361647 -0.76334393 -0.99938613
  0.9993648  -0.81413335 -0.9981347   0.9871019  -0.9989686  -0.9990524
 -0.934658    0.9729821   0.9995446   0.8596848  -0.9799186   0.9880118
 -0.9984376   0.9987091   0.9819899  -0.951041   -0.95381135 -0.8648129
  0.9990713  -0.5914744   0.9907829  -0.9995398  -0.9999151  -0.99774694
 -0.94909996  0.9979744   0.9962523  -0.99837816  0.99090993 -0.9984484
  0.8900859  -0.7690768  -0.95216036  0.99917734]"
20181003-130050,"[0.00977517 0.00293255 0.02443793 0.01368524 0.00684262 0.00293255
 0.00684262 0.01368524 0.00977517 0.00293255 0.02443793 0.01368524
 0.00684262 0.00293255 0.00684262 0.01368524 0.00684262 0.01661779
 0.02248289 0.01661779 0.00684262 0.00879765 0.0058651  0.0058651
 0.00195503 0.00977517 0.02443793 0.02737048 0.01075269 0.00684262
 0.         0.00684262 0.00195503 0.00977517 0.02443793 0.02737048
 0.01075269 0.00684262 0.         0.00684262]",0.4281524926686215,"[-0.5116949   0.3336998  -0.76438916  0.7365889   0.44292858  0.062572
 -0.18399619  0.40943164 -0.8156513   0.09630634  0.79932535 -0.63810354
 -0.9309078   0.3073447  -0.10928717 -0.16614121 -0.60324186  0.69632345
 -0.6825081  -0.443219    0.9301598  -0.13383034  0.9439325   0.00712011
 -0.19882624 -0.26975942 -0.8537573   0.40588596 -0.68913174  0.09555757
 -0.3338797  -0.61588687 -0.44808233 -0.59100115 -0.272139   -0.6015612
 -0.81802696 -0.8088377   0.34422356 -0.94394565  0.884666   -0.23280539
  0.00955088  0.53904784 -0.07029609  0.8680907  -0.10742831 -0.7089309
  0.7180552   0.34929562 -0.26224655  0.28139743  0.16999395  0.3230982
  0.03466021  0.25360808  0.7115033   0.60237443  0.84150684  0.06468587
 -0.6908079   0.81889784 -0.317451    0.15955368]"
20181003-130051,"[0.00293255 0.00782014 0.02541544 0.01368524 0.01075269 0.01173021
 0.00195503 0.00293255 0.00097752 0.00097752 0.02346041 0.01270772
 0.00879765 0.03128055 0.01075269 0.00782014 0.00097752 0.00097752
 0.02346041 0.01270772 0.00879765 0.03128055 0.01759531 0.00195503
 0.00097752 0.00097752 0.02346041 0.01270772 0.00879765 0.03128055
 0.01759531 0.00195503 0.00097752 0.00097752 0.02346041 0.01270772
 0.00879765 0.03128055 0.01759531 0.00195503]",0.4672531769305961,"[-0.92908967 -0.9991667   0.9993038   0.9978662  -0.99980575 -0.99083287
  0.9993143   0.9991379   0.9958148   0.999802    0.9995944  -0.9232218
 -0.9989988  -0.99627125  0.9961753  -0.9995892  -0.9532552   0.9998541
 -0.9994881   0.99953413 -0.99088264  0.999995    0.9998043   0.99273443
 -0.9022466  -0.9235682  -0.99947536 -0.91639715 -0.7808426  -0.99954873
  0.9995185  -0.8625746  -0.9980976   0.9870004  -0.99934417 -0.99911404
 -0.9294705   0.9665292   0.9996369   0.85416716 -0.9756086   0.9904494
 -0.998918    0.99889535  0.98603475 -0.95703185 -0.9620548  -0.87947524
  0.99934644 -0.5785912   0.9934223  -0.99959743 -0.9999406  -0.99816406
 -0.9437728   0.9982224   0.99769187 -0.9984361   0.99210113 -0.9983017
  0.90673745 -0.7593437  -0.96109515  0.9994883 ]"
20181003-130052,"[0.01955034 0.01368524 0.00977517 0.00097752 0.00782014 0.0058651
 0.0058651  0.01173021 0.00782014 0.00391007 0.02248289 0.01075269
 0.00782014 0.0058651  0.01564027 0.00195503 0.00097752 0.00293255
 0.01270772 0.00879765 0.00879765 0.0058651  0.00782014 0.0058651
 0.00195503 0.00097752 0.01368524 0.0058651  0.0058651  0.00977517
 0.0058651  0.00097752 0.00391007 0.00488759 0.01368524 0.0058651
 0.0058651  0.00977517 0.0058651  0.00391007]",0.3040078201368523,"[-0.92814815 -0.99835736  0.99891704  0.99653137 -0.999666   -0.986091
  0.9985935   0.9987797   0.99506694  0.9995158   0.9993359  -0.9107716
 -0.998144   -0.9939059   0.9948805  -0.9991612  -0.9483402   0.9997295
 -0.9989361   0.9992753  -0.98465884  0.9999878   0.9996543   0.9920155
 -0.8761096  -0.8920295  -0.9992199  -0.89741385 -0.7816451  -0.99915296
  0.99913263 -0.81758493 -0.9974304   0.9805958  -0.998503   -0.9987257
 -0.9341465   0.96782726  0.99938786  0.815243   -0.97359407  0.983332
 -0.9981164   0.9982914   0.98221415 -0.9474474  -0.9493137  -0.86561114
  0.9987964  -0.6096332   0.98708993 -0.9993709  -0.99988496 -0.9971961
 -0.94410044  0.99764353  0.99560666 -0.9979364   0.990566   -0.9979636
  0.86696935 -0.75665003 -0.94003046  0.9987189 ]"
20181003-130053,"[0.00195503 0.00684262 0.01661779 0.00977517 0.00879765 0.00488759
 0.00684262 0.00293255 0.00195503 0.00684262 0.01661779 0.00977517
 0.00879765 0.00488759 0.00684262 0.00293255 0.00195503 0.00684262
 0.01661779 0.00977517 0.00879765 0.00488759 0.00684262 0.00293255
 0.00195503 0.00684262 0.01661779 0.00977517 0.00879765 0.00488759
 0.00684262 0.00293255 0.00195503 0.00684262 0.01661779 0.00977517
 0.00879765 0.00488759 0.00684262 0.00293255]",0.29325513196480923,"[ 0.6824635   0.7134442  -0.5231259   0.8131091   0.7027168   0.10596886
  0.7198326  -0.49387205  0.0245083  -0.7592868   0.9237682  -0.71039677
  0.6923781  -0.8512695   0.3479178  -0.02156608  0.95261186 -0.45827782
  0.57245743 -0.8332335  -0.3235741   0.4327617   0.47818282  0.6590416
 -0.603741    0.1230465   0.4461088  -0.90563905 -0.60448164 -0.17260602
 -0.6048973   0.7597465  -0.34432754  0.35169685 -0.37501794 -0.9233143
 -0.5607192  -0.13111767 -0.49106643  0.06333666  0.44010964  0.9187319
 -0.3544061   0.7148171   0.08130408 -0.3335091  -0.782588   -0.21872728
  0.56455064  0.05188869 -0.33524013  0.6093649  -0.46434358 -0.52764845
 -0.04505872 -0.7176025   0.5505203  -0.07547498 -0.78832835 -0.40830302
 -0.6137486   0.55581397 -0.14556116  0.35191455]"
20181003-130053,"[0.00977517 0.01173021 0.02248289 0.00684262 0.01270772 0.03323558
 0.00782014 0.02052786 0.01270772 0.00293255 0.01661779 0.00488759
 0.01466276 0.01368524 0.00782014 0.02052786 0.00488759 0.00293255
 0.01857283 0.00293255 0.00097752 0.00684262 0.00293255 0.0058651
 0.01173021 0.00293255 0.01857283 0.00293255 0.00097752 0.00684262
 0.00977517 0.00488759 0.00097752 0.00097752 0.01759531 0.0058651
 0.00879765 0.01075269 0.00977517 0.0058651 ]",0.3841642228739001,"[-0.91914076 -0.9987402   0.99908847  0.9967716  -0.9997158  -0.98592764
  0.99901265  0.9988139   0.9955865   0.999688    0.9994776  -0.9086965
 -0.9985684  -0.99490464  0.9948323  -0.99953645 -0.94244987  0.9997565
 -0.9993191   0.99951947 -0.98422813  0.99999267  0.9997343   0.9933707
 -0.86720383 -0.91232234 -0.9995068  -0.888128   -0.8047215  -0.99936837
  0.9993168  -0.7958174  -0.9980348   0.98469144 -0.99875134 -0.9991382
 -0.92540663  0.9614778   0.9994217   0.8134268  -0.97984636  0.98224944
 -0.9987492   0.9986752   0.9838092  -0.9573029  -0.95065933 -0.9040691
  0.9990563  -0.5016079   0.98918533 -0.9994838  -0.99990416 -0.9970116
 -0.9422591   0.9976375   0.9961851  -0.99819654  0.9925155  -0.99847054
  0.8707391  -0.72349864 -0.9513554   0.9991603 ]"
20181003-130054,"[0.00977517 0.01075269 0.02443793 0.00684262 0.00782014 0.00684262
 0.         0.00684262 0.00977517 0.01075269 0.02443793 0.00684262
 0.00782014 0.00684262 0.         0.00684262 0.00977517 0.01075269
 0.02443793 0.00684262 0.00782014 0.00684262 0.         0.00684262
 0.00977517 0.01075269 0.02443793 0.00684262 0.00782014 0.00684262
 0.         0.00684262 0.00977517 0.01075269 0.02443793 0.00684262
 0.00782014 0.00684262 0.         0.00684262]",0.36656891495601157,"[-0.80675596 -0.13049072  0.49657288 -0.03893772  0.50045824  0.5186622
  0.7417173  -0.3786185  -0.56208724  0.35277605  0.18140669 -0.58613616
  0.9673936   0.3343381   0.38481122 -0.08690339 -0.7897385   0.91896653
 -0.6855427  -0.11425561 -0.17533386 -0.91393125  0.7434338   0.44671288
  0.53989637  0.06232008 -0.15965971 -0.45572594  0.8939216   0.14774115
 -0.84854865  0.07481445 -0.63524544  0.7760404   0.42063665 -0.47079378
 -0.24270847  0.11369468 -0.337828   -0.54193664 -0.7950174   0.11928978
 -0.2852194   0.23707944 -0.85409975  0.03863261  0.17895402 -0.8789425
  0.9960774   0.3360578  -0.67641115  0.09710331  0.30322722 -0.17563283
  0.19064836  0.34099278  0.4680534   0.37390906 -0.84832406 -0.91934586
  0.8023388  -0.47082776 -0.31552538 -0.26193732]"
